"End","count"
"2023-03-28 23:51:22.0","1795"
"2023-03-28 23:51:23.0","2313"
"2023-03-28 23:51:24.0","3692"
"2023-03-28 23:51:25.0","5335"
"2023-03-28 23:51:26.0","7868"
"2023-03-28 23:51:27.0","8391"
"2023-03-28 23:51:28.0","10744"
"2023-03-28 23:51:29.0","10973"
"2023-03-28 23:51:30.0","11658"
"2023-03-28 23:51:31.0","11110"
"2023-03-28 23:51:32.0","10045"
"2023-03-28 23:51:33.0","9419"
"2023-03-28 23:51:34.0","9924"
"2023-03-28 23:51:35.0","9832"
"2023-03-28 23:51:36.0","9658"
"2023-03-28 23:51:37.0","9480"
"2023-03-28 23:51:38.0","9274"
"2023-03-28 23:51:39.0","9596"
"2023-03-28 23:51:40.0","9507"
"2023-03-28 23:51:41.0","8579"
"2023-03-28 23:51:42.0","9176"
"2023-03-28 23:51:43.0","8051"
"2023-03-28 23:51:44.0","9807"
"2023-03-28 23:51:45.0","8372"
"2023-03-28 23:51:46.0","4941"
"2023-03-28 23:51:47.0","8776"
"2023-03-28 23:51:48.0","7763"
"2023-03-28 23:51:49.0","5599"
"2023-03-28 23:51:50.0","8357"
"2023-03-28 23:51:51.0","7857"
"2023-03-28 23:51:52.0","8930"
"2023-03-28 23:51:53.0","9503"
"2023-03-28 23:51:54.0","7910"
"2023-03-28 23:51:55.0","7861"
"2023-03-28 23:51:56.0","8313"
"2023-03-28 23:51:57.0","8029"
"2023-03-28 23:51:58.0","8240"
"2023-03-28 23:51:59.0","7925"
"2023-03-28 23:52:00.0","8025"
"2023-03-28 23:52:01.0","10514"
"2023-03-28 23:52:02.0","10412"
"2023-03-28 23:52:03.0","8062"
"2023-03-28 23:52:04.0","4757"
"2023-03-28 23:52:05.0","6447"
"2023-03-28 23:52:06.0","7591"
"2023-03-28 23:52:07.0","7786"
"2023-03-28 23:52:08.0","7436"
"2023-03-28 23:52:09.0","8658"
"2023-03-28 23:52:10.0","6725"
"2023-03-28 23:52:11.0","7678"
"2023-03-28 23:52:12.0","7333"
"2023-03-28 23:52:13.0","7641"
"2023-03-28 23:52:14.0","7808"
"2023-03-28 23:52:15.0","9381"
"2023-03-28 23:52:16.0","7763"
"2023-03-28 23:52:17.0","10007"
"2023-03-28 23:52:18.0","8063"
"2023-03-28 23:52:19.0","9310"
"2023-03-28 23:52:20.0","8998"
"2023-03-28 23:52:21.0","9011"
"2023-03-28 23:52:22.0","5991"
